203,308,213,204,205
209,317,218,208,209
217,329,227,218,218
223,339,232,221,221
229,347,239,229,228
234,355,244,234,233
239,364,249,240,241
245,372,253,243,243
251,382,260,250,250
257,392,268,257,257
262,400,273,262,262
268,409,278,268,267
273,417,283,272,272
280,427,289,278,277
284,434,293,281,281
289,442,299,286,286
296,452,305,292,291
304,463,312,297,295
307,469,316,303,301
315,479,322,308,304
319,486,327,312,311
325,495,331,317,315
329,501,336,323,322
334,509,341,327,326
339,518,348,333,332
345,527,353,338,337
350,535,358,343,342
354,541,362,346,345
361,552,370,354,353
365,557,372,356,354
