127,157,86,79,79
130,161,88,81,81
133,163,89,82,83
136,166,91,83,84
139,172,95,87,87
142,177,97,89,90
144,179,99,91,91
148,183,101,92,93
150,187,104,95,95
151,190,105,96,96
154,192,106,97,97
156,195,108,99,99
159,199,110,100,100
162,203,113,103,103
164,205,114,104,104
166,208,115,105,105
169,210,117,106,106
173,213,119,108,108
175,214,120,109,109
178,216,121,110,110
180,218,122,111,110
182,221,124,112,112
185,224,125,113,113
188,227,127,114,114
188,230,128,116,115
192,234,131,118,117
195,236,133,120,120
196,238,134,120,120
200,240,135,122,121
202,244,137,123,123
