
1927,8,16,225,0
1871,19,15,108,0
1955,13,31,27,0
2006,38,39,51,0
2041,15,58,65,0
1989,10,6,307,0
2036,41,56,59,0
2076,33,20,19,0
2069,40,44,345,0
2132,24,67,73,0
2157,20,21,26,0
2139,13,25,307,0
2133,6,21,325,0
2138,34,44,177,0
2166,37,57,167,0
2210,11,17,84,0
2226,70,61,347,0
2272,36,40,363,0
2319,58,62,328,0
2365,16,60,261,0
2388,20,41,326,0
2404,33,72,44,0
2411,50,76,154,0
2453,57,89,229,0
2530,61,59,25,0
2555,109,34,307,0
2599,49,48,26,0
2645,41,69,343,0
2668,65,76,57,0
1988,20,22,29,0
2023,164,68,10,0
1999,50,20,42,0
2029,106,50,16,0
1931,25,17,10,0
1972,69,16,20,0
1952,61,20,29,0
2008,83,110,54,0
2046,178,33,18,0
2108,106,12,23,0
2109,164,27,25,0
2095,51,24,4,0
2035,198,26,72,0
2083,128,30,9,0
2105,165,44,22,0
2128,94,38,11,0
2026,286,135,77,0
2166,28,17,24,0
2110,136,47,18,0
2127,237,46,111,0
2167,40,41,21,0
2105,185,37,35,0
2100,202,43,73,0
2148,131,40,8,0
2089,168,18,61,0
2109,180,22,66,0
2186,129,35,15,0
2190,235,28,108,0
2242,250,43,115,0
2290,210,26,88,0
2074,50,47,39,0
2098,136,31,65,0
2126,46,72,146,0
2073,169,39,79,0
2017,296,84,74,0
2154,107,25,96,0
2205,57,53,24,0
2100,268,128,68,0
2160,244,170,140,0
2326,36,99,24,0
2186,138,47,332,0
2137,54,31,16,0
2097,188,29,336,0
2113,58,106,166,0
2014,258,204,159,0
2141,38,42,23,0
2050,32,432,234,0
2199,115,46,109,0
2104,49,47,19,0
2066,128,24,32,0
2052,176,34,22,0
2001,275,136,103,0
2101,107,19,317,0
2072,147,19,55,0
2030,148,32,19,0
1925,298,83,40,0
2067,139,14,214,0
2001,264,138,70,0
2040,270,148,395,0
2120,271,144,66,0
1994,21,28,303,0
2037,105,67,90,0
2071,119,23,351,0
2121,49,48,111,0
2048,83,88,327,0
2064,130,23,56,0
2126,94,13,61,0
2117,91,92,246,0
2107,110,22,48,0
2103,139,23,48,0
2123,151,42,113,0
2103,273,129,57,0
2268,153,59,407,0
2220,252,87,173,0
2379,29,98,242,0
2379,167,36,372,0
2345,253,167,83,0
2419,284,106,65,0
2549,129,30,43,0
2606,109,46,130,0
2494,286,114,111,0
2542,275,157,72,0
2577,259,149,403,0
2759,137,31,390,0
